Dataset,Missingness Ratio,Mechanism,Iteration,ROC-AUC Score,Impute,precision,recall,sensitivity,specificity,ppv,npv,f1
pima_indians_diabetes,0.1,MCAR,7,1,global,0.841333467,0.752064559,0.748532234,0.961468665,0.842021773,0.908018588,0.819470845
pima_indians_diabetes,0.1,MCAR,8,1,global,0.902104453,0.763426803,0.754873188,0.954905391,0.841857768,0.857021968,0.790950663
pima_indians_diabetes,0.1,MCAR,9,1,global,0.872094534,0.736978787,0.736549492,0.964449631,0.871830337,0.869914023,0.788265474
pima_indians_diabetes,0.1,MCAR,10,1,global,0.886307161,0.723834314,0.748879585,0.917265301,0.856355947,0.896159742,0.783857059
pima_indians_diabetes,0.1,MAR,1,1,global,0.888563746,0.757935261,0.764012592,0.917834013,0.858388533,0.898584692,0.79963691
pima_indians_diabetes,0.1,MAR,2,1,global,0.881626846,0.735156921,0.753004228,0.906937999,0.889622078,0.907401446,0.816794693
pima_indians_diabetes,0.1,MAR,3,1,global,0.867294419,0.757210131,0.758148935,0.956008521,0.870648012,0.858468259,0.766026721
pima_indians_diabetes,0.1,MAR,4,1,global,0.879509626,0.720942905,0.766804669,0.920517179,0.896578957,0.860963967,0.788065102
pima_indians_diabetes,0.1,MAR,5,1,global,0.891852079,0.727583058,0.767050756,0.908640695,0.851609111,0.906354311,0.816587374
pima_indians_diabetes,0.1,MAR,6,1,global,0.856667509,0.765106301,0.743154842,0.912816704,0.873781326,0.89836898,0.789916635
pima_indians_diabetes,0.1,MAR,7,1,global,0.851344595,0.752055532,0.759046349,0.914659318,0.843441627,0.914000385,0.81414533
pima_indians_diabetes,0.1,MAR,8,1,global,0.843380904,0.752252576,0.745391004,0.925356767,0.86682996,0.900382061,0.809619561
pima_indians_diabetes,0.1,MAR,9,1,global,0.848494714,0.742553189,0.719423431,0.954194978,0.842018778,0.869460504,0.767961677
pima_indians_diabetes,0.1,MAR,10,1,global,0.885585954,0.727612784,0.72138885,0.923055405,0.877192458,0.902547237,0.770997353
pima_indians_diabetes,0.1,MNAR,1,1,global,0.849313679,0.750952297,0.747712911,0.935791538,0.853824998,0.862174989,0.796250684
pima_indians_diabetes,0.1,MNAR,2,1,global,0.852672225,0.71925793,0.724418696,0.943511303,0.841151669,0.897814166,0.797993556
pima_indians_diabetes,0.1,MNAR,3,1,global,0.892148653,0.767539613,0.761089065,0.938350531,0.899015189,0.900795716,0.782207404
pima_indians_diabetes,0.1,MNAR,4,1,global,0.875084085,0.735136245,0.771331907,0.939332997,0.879275385,0.868325465,0.811351209
pima_indians_diabetes,0.1,MNAR,5,1,global,0.871780517,0.768664607,0.730385447,0.954334366,0.887061205,0.881849297,0.76791169
pima_indians_diabetes,0.1,MNAR,6,1,global,0.875580381,0.758424962,0.767181378,0.939516918,0.892939811,0.888763382,0.803196727
pima_indians_diabetes,0.1,MNAR,7,1,global,0.902506846,0.723631561,0.731042593,0.911954842,0.871137556,0.869695152,0.818540469
